"event","experiment time","system time","system time text"
"START",0.000000000E0,1727189117.204,"2024-09-24 15:45:17.204 UTC+01:00"
"PAUSE",5.743152992E2,1727189691.519,"2024-09-24 15:54:51.519 UTC+01:00"
