"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.301296130E-1,5.140374649E1,-5.152257500E-1,1.759949675E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.834452578E0,5.140374457E1,-5.152258700E-1,1.761597734E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.827404187E0,5.140374362E1,-5.152267200E-1,1.749824005E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
3.832847256E0,5.140374328E1,-5.152305100E-1,1.597638484E1,3.400000036E-1,2.240000000E2,4.288000107E0,6.000000000E0
4.834932044E0,5.140374591E1,-5.152423300E-1,1.623057943E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.839443446E0,5.140375285E1,-5.152459000E-1,1.443674710E1,1.230000019E0,2.870000076E1,5.360000134E0,6.000000000E0
6.836437764E0,5.140375972E1,-5.152505600E-1,1.477499350E1,0.000000000E0,NaN,4.288000107E0,8.000000000E0
7.828347498E0,5.140376551E1,-5.152533600E-1,1.529238117E1,0.000000000E0,NaN,5.360000134E0,8.000000000E0
8.830806088E0,5.140376801E1,-5.152549400E-1,1.516713338E1,0.000000000E0,NaN,5.360000134E0,8.000000000E0
9.833878219E0,5.140376860E1,-5.152559000E-1,1.685713421E1,3.100000024E-1,2.470000076E1,4.288000107E0,6.000000000E0
1.083409212E1,5.140377519E1,-5.152593400E-1,1.643476224E1,1.049999952E0,3.258999939E2,4.288000107E0,6.000000000E0
1.183541196E1,5.140378381E1,-5.152616800E-1,1.728674338E1,7.400000095E-1,3.470000000E2,4.288000107E0,6.000000000E0
1.283080628E1,5.140378896E1,-5.152642600E-1,1.820116544E1,2.500000000E-1,3.498999939E2,3.216000080E0,6.000000000E0
1.383315232E1,5.140379827E1,-5.152638700E-1,1.817900412E1,1.250000000E0,3.527000122E2,3.216000080E0,6.000000000E0
1.482733965E1,5.140381223E1,-5.152644900E-1,1.805851085E1,1.370000005E0,3.522999878E2,4.288000107E0,6.000000000E0
1.582914382E1,5.140382126E1,-5.152727900E-1,1.737673166E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.682810454E1,5.140382943E1,-5.152787700E-1,1.736689203E1,1.090000033E0,3.536000061E2,3.216000080E0,6.000000000E0
1.783059178E1,5.140383660E1,-5.152824600E-1,1.609478791E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.882977771E1,5.140383599E1,-5.152826000E-1,1.521649223E1,1.800000072E-1,1.585000000E2,4.288000107E0,6.000000000E0
1.982815448E1,5.140383640E1,-5.152831400E-1,1.677709918E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.082361619E1,5.140383630E1,-5.152845600E-1,1.715850612E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.182736618E1,5.140383509E1,-5.152854100E-1,1.689715328E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.282792675E1,5.140383454E1,-5.152853900E-1,1.688604527E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.382743539E1,5.140383428E1,-5.152853700E-1,1.688647271E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.482676039E1,5.140383412E1,-5.152854100E-1,1.687707335E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.582796976E1,5.140383401E1,-5.152852600E-1,1.688873133E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.683264689E1,5.140383391E1,-5.152852500E-1,1.687737887E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.783317277E1,5.140383387E1,-5.152852300E-1,1.687890480E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.883336589E1,5.140383383E1,-5.152851200E-1,1.689501824E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
2.983330604E1,5.140383381E1,-5.152849500E-1,1.690887346E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
