"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.453413440E-1,5.140473504E1,-5.116591300E-1,1.571364839E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.945545298E0,5.140473282E1,-5.116588700E-1,1.596639675E1,2.199999988E-1,4.800000000E1,3.216000080E0,6.000000000E0
2.940191179E0,5.140473160E1,-5.116601100E-1,1.591579781E1,2.199999988E-1,2.801000061E2,3.216000080E0,6.000000000E0
3.955261280E0,5.140473223E1,-5.116601600E-1,1.566738425E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
4.947333670E0,5.140473200E1,-5.116586900E-1,1.616109966E1,2.099999934E-1,1.785000000E2,3.216000080E0,6.000000000E0
5.946761009E0,5.140473050E1,-5.116573600E-1,1.543215947E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
6.938854077E0,5.140473115E1,-5.116570400E-1,1.539175418E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.941632250E0,5.140473151E1,-5.116567500E-1,1.538504045E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
8.944194537E0,5.140473170E1,-5.116565500E-1,1.538711578E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
9.941807866E0,5.140473177E1,-5.116564300E-1,1.540536540E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.094267458E1,5.140473182E1,-5.116564000E-1,1.539669841E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.194198249E1,5.140473184E1,-5.116563400E-1,1.539871264E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.294512176E1,5.140473185E1,-5.116562800E-1,1.540426691E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.394329264E1,5.140473187E1,-5.116561800E-1,1.540768499E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.493932404E1,5.140473188E1,-5.116561300E-1,1.540756298E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.594231023E1,5.140473189E1,-5.116560800E-1,1.540707475E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.694410315E1,5.140473191E1,-5.116560200E-1,1.541000451E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.794194356E1,5.140473191E1,-5.116559900E-1,1.540853970E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.894515366E1,5.140473191E1,-5.116559500E-1,1.541256807E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.994277975E1,5.140473192E1,-5.116559200E-1,1.541122533E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.093911396E1,5.140473192E1,-5.116558900E-1,1.541110330E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.194171646E1,5.140473191E1,-5.116558200E-1,1.542379871E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.294417687E1,5.140473192E1,-5.116557900E-1,1.541732901E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
