"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.395935870E1,5.140575901E1,-5.155206700E-1,2.217404285E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
4.496397177E1,5.140575903E1,-5.155206000E-1,2.217306637E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
4.595218765E1,5.140575905E1,-5.155205700E-1,2.217306639E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
4.695588468E1,5.140575906E1,-5.155205300E-1,2.217361575E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
4.795829488E1,5.140575905E1,-5.155205300E-1,2.217501957E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
4.895761910E1,5.140575901E1,-5.155204700E-1,2.218429702E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
4.996098414E1,5.140575898E1,-5.155204200E-1,2.219003440E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.095948008E1,5.140575901E1,-5.155203300E-1,2.218692171E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.195990643E1,5.140575987E1,-5.155193400E-1,2.191647564E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.295999496E1,5.140576048E1,-5.155189100E-1,2.199777462E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.395927944E1,5.140576078E1,-5.155186600E-1,2.199679818E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
5.496071933E1,5.140576094E1,-5.155185700E-1,2.199862925E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
5.596019391E1,5.140576105E1,-5.155185300E-1,2.199368538E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.695406875E1,5.140576110E1,-5.155185100E-1,2.199386848E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.795694322E1,5.140576114E1,-5.155184900E-1,2.199844611E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.896243988E1,5.140576114E1,-5.155184800E-1,2.200998177E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
5.995780821E1,5.140576117E1,-5.155184400E-1,2.201651257E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
6.095380185E1,5.140576118E1,-5.155184200E-1,2.201657362E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
6.195599784E1,5.140576123E1,-5.155183800E-1,2.202139542E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.295424252E1,5.140576126E1,-5.155183600E-1,2.202139542E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.395645606E1,5.140576131E1,-5.155183300E-1,2.202957414E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.495852533E1,5.140576133E1,-5.155182900E-1,2.203323629E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.595580667E1,5.140576137E1,-5.155182500E-1,2.204172020E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.695725938E1,5.140576140E1,-5.155182300E-1,2.205398827E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.795715489E1,5.140576146E1,-5.155182200E-1,2.205569723E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.895718713E1,5.140576151E1,-5.155182200E-1,2.205526995E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
6.995210061E1,5.140576153E1,-5.155182300E-1,2.205520889E1,0.000000000E0,NaN,9.648000717E0,6.000000000E0
7.095754571E1,5.140576158E1,-5.155182500E-1,2.204355112E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
7.195863758E1,5.140576163E1,-5.155182800E-1,2.203402956E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
7.295724300E1,5.140576167E1,-5.155183200E-1,2.203695917E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
7.395674351E1,5.140576174E1,-5.155183700E-1,2.203903426E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
7.495644340E1,5.140576181E1,-5.155183900E-1,2.204092628E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
7.595744642E1,5.140576188E1,-5.155184100E-1,2.204855560E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
7.695872985E1,5.140576189E1,-5.155184200E-1,2.204898283E1,0.000000000E0,NaN,9.648000717E0,4.000000000E0
