"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.267390248E1,5.140469290E1,-5.122941900E-1,8.142977658E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.367232956E1,5.140469283E1,-5.122940600E-1,8.135531581E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.467027268E1,5.140469279E1,-5.122940300E-1,8.130954009E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.567178955E1,5.140469337E1,-5.122945000E-1,8.085787015E0,1.700000018E-1,3.327000122E2,3.216000080E0,4.000000000E0
4.667065403E1,5.140469402E1,-5.122910900E-1,8.802831972E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.767252704E1,5.140469919E1,-5.122820900E-1,9.546675581E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.867100454E1,5.140470207E1,-5.122772700E-1,9.592395210E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.966992047E1,5.140470355E1,-5.122748200E-1,9.596669845E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.067005547E1,5.140470426E1,-5.122735400E-1,9.598746217E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.166958577E1,5.140470460E1,-5.122729700E-1,9.598868796E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.267136020E1,5.140470474E1,-5.122726800E-1,9.598136654E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.367123254E1,5.140470479E1,-5.122724900E-1,9.591606103E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.467081805E1,5.140470484E1,-5.122723500E-1,9.592338672E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.567099487E1,5.140470484E1,-5.122722900E-1,9.592338749E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.667042580E1,5.140470481E1,-5.122721900E-1,9.592155791E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
5.767217043E1,5.140470474E1,-5.122721500E-1,9.594719364E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
5.867458371E1,5.140470470E1,-5.122721200E-1,9.595024604E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
5.967099334E1,5.140470469E1,-5.122721300E-1,9.588066590E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.066614063E1,5.140470469E1,-5.122721300E-1,9.587944520E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.167168547E1,5.140470490E1,-5.122716100E-1,9.259697978E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.267780093E1,5.140470413E1,-5.122694600E-1,9.474239805E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.367234952E1,5.140470207E1,-5.122658200E-1,9.933108108E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.467255071E1,5.140470134E1,-5.122636800E-1,9.836065423E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.567020592E1,5.140470096E1,-5.122626100E-1,9.833198388E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.667039779E1,5.140469814E1,-5.122637300E-1,9.420479061E0,2.599999905E-1,1.993999939E2,3.216000080E0,4.000000000E0
6.767285872E1,5.140469603E1,-5.122647600E-1,1.105432921E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.867570658E1,5.140469602E1,-5.122630400E-1,1.126221716E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.967009033E1,5.140469201E1,-5.122684300E-1,1.149957859E1,1.230000019E0,2.093000031E2,3.216000080E0,3.000000000E0
7.067075423E1,5.140468964E1,-5.122714700E-1,1.167163435E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
7.167116490E1,5.140469095E1,-5.122707100E-1,1.168457392E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
7.267107406E1,5.140469159E1,-5.122703300E-1,1.168512331E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
7.366637755E1,5.140469191E1,-5.122701300E-1,1.168445197E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
7.467138504E1,5.140468912E1,-5.122720800E-1,1.149115295E1,1.230000019E0,2.051999969E2,3.216000080E0,3.000000000E0
7.567593853E1,5.140468899E1,-5.122713500E-1,1.121673990E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
7.667223206E1,5.140469198E1,-5.122696500E-1,1.118335391E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
7.766603821E1,5.140469348E1,-5.122687900E-1,1.118298782E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
7.867452784E1,5.140469422E1,-5.122683900E-1,1.118512408E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
7.967648815E1,5.140469459E1,-5.122681900E-1,1.118628377E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.067481819E1,5.140469478E1,-5.122680800E-1,1.118524618E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.166762262E1,5.140469487E1,-5.122680300E-1,1.118518516E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.267382834E1,5.140469490E1,-5.122680100E-1,1.118927452E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.367187974E1,5.140469492E1,-5.122680400E-1,1.118500200E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.466980068E1,5.140469496E1,-5.122680200E-1,1.118567339E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.567070885E1,5.140469618E1,-5.122678700E-1,1.146362689E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.667162233E1,5.140469678E1,-5.122674800E-1,1.147009673E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.767301478E1,5.140469710E1,-5.122672500E-1,1.146826576E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.867482436E1,5.140469725E1,-5.122671200E-1,1.147333175E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
8.967579117E1,5.140469734E1,-5.122670500E-1,1.147290453E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
9.067963987E1,5.140469804E1,-5.122683400E-1,1.180243123E1,5.400000215E-1,2.166999969E2,3.216000080E0,3.000000000E0
9.167418351E1,5.140470043E1,-5.122695900E-1,1.180395396E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
9.267188194E1,5.140470261E1,-5.122690500E-1,1.180407530E1,0.000000000E0,NaN,3.216000080E0,3.000000000E0
9.367195876E1,5.140469835E1,-5.122615700E-1,1.173859692E1,1.440000057E0,1.573999939E2,3.216000080E0,3.000000000E0
9.467270125E1,5.140468634E1,-5.122471200E-1,1.058347186E1,2.160000086E0,1.446999969E2,3.216000080E0,3.000000000E0
9.567550125E1,5.140467527E1,-5.122315600E-1,8.878542917E0,1.549999952E0,1.601999969E2,3.216000080E0,3.000000000E0
9.667212072E1,5.140467173E1,-5.122333000E-1,8.905764671E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
9.767151921E1,5.140467063E1,-5.122365400E-1,8.704223153E0,4.199999869E-1,2.980000000E2,3.216000080E0,3.000000000E0
9.867449978E1,5.140467535E1,-5.122508700E-1,9.714211508E0,2.019999981E0,2.786000061E2,3.216000080E0,4.000000000E0
9.967398342E1,5.140468320E1,-5.122710300E-1,1.183264984E1,1.159999967E0,3.027999878E2,3.216000080E0,4.000000000E0
1.006713857E2,5.140469118E1,-5.122741500E-1,1.163799954E1,0.000000000E0,NaN,3.216000080E0,4.000000000E0
