"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.311202513E1,5.140336154E1,-5.131297900E-1,2.273713411E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
4.411082908E1,5.140336161E1,-5.131294400E-1,2.273566967E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
4.511087934E1,5.140336175E1,-5.131290800E-1,2.273695178E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
4.611058980E1,5.140336160E1,-5.131289800E-1,2.273725718E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
4.711020131E1,5.140336158E1,-5.131288100E-1,2.273786776E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
4.811121479E1,5.140336154E1,-5.131287400E-1,2.273768477E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
4.911159218E1,5.140336153E1,-5.131286800E-1,2.273780692E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
5.011205775E1,5.140336161E1,-5.131285200E-1,2.273927192E1,0.000000000E0,NaN,3.644800186E1,1.600000000E1
5.111120796E1,5.140336759E1,-5.131165400E-1,2.282601432E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.211351873E1,5.140337054E1,-5.131106600E-1,2.282742374E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.311161123E1,5.140337208E1,-5.131076400E-1,2.282895248E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.411092711E1,5.140337286E1,-5.131061300E-1,2.282895390E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.511057783E1,5.140337299E1,-5.131053100E-1,2.283029764E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.611092715E1,5.140337308E1,-5.131048800E-1,2.283115263E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.711304282E1,5.140337312E1,-5.131046800E-1,2.283096975E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.811032569E1,5.140337311E1,-5.131046500E-1,2.283078669E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
5.910982589E1,5.140337310E1,-5.131046200E-1,2.283072570E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
6.011062385E1,5.140337304E1,-5.131046100E-1,2.282950505E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
6.111129031E1,5.140337384E1,-5.131031900E-1,2.285086865E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
6.211148296E1,5.140337219E1,-5.130992000E-1,2.247746174E1,0.000000000E0,NaN,3.537599945E1,1.600000000E1
6.311225613E1,5.140336584E1,-5.130976600E-1,2.187022907E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
6.411501639E1,5.140336238E1,-5.130982700E-1,2.189488875E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
6.511312607E1,5.140336064E1,-5.130985800E-1,2.189726985E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
6.611144367E1,5.140335974E1,-5.130987500E-1,2.189684297E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
6.711109283E1,5.140335929E1,-5.130988500E-1,2.189733142E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
6.811097022E1,5.140335892E1,-5.130989200E-1,2.189238772E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
6.911023209E1,5.140335860E1,-5.130989900E-1,2.188835952E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
7.011078797E1,5.140335843E1,-5.130990300E-1,2.188823751E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
7.111546354E1,5.140335828E1,-5.130990700E-1,2.188622340E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
7.211039520E1,5.140335818E1,-5.130991100E-1,2.188597927E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
7.311129577E1,5.140335813E1,-5.130991500E-1,2.188707788E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
7.411139665E1,5.140335808E1,-5.130991800E-1,2.188622338E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
7.511152165E1,5.140335807E1,-5.130992000E-1,2.188958030E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
7.611146800E1,5.140335805E1,-5.130992000E-1,2.188927514E1,0.000000000E0,NaN,3.430400085E1,1.600000000E1
