"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.562042570E-1,1.144254208E0,1.211090088E-1,-1.702497482E0
4.612091400E-1,1.129857659E0,-1.033287048E-1,-1.267189503E0
4.662140230E-1,1.144937396E0,-2.689595222E-1,-7.380862236E-1
4.712189060E-1,1.127983570E0,-4.021596909E-1,-2.217254639E-1
4.762237890E-1,1.194807768E0,-5.292949677E-1,2.360215187E-1
4.812286710E-1,1.310577273E0,-6.421055794E-1,6.477437019E-1
4.862335540E-1,1.475638509E0,-7.025833130E-1,1.023532391E0
4.912384370E-1,1.537791371E0,-8.587431908E-1,1.243079662E0
4.962433200E-1,1.381413341E0,-7.121853828E-1,1.194873333E0
5.012787200E-1,1.564010262E0,-4.067926407E-1,8.636412621E-1
5.062836030E-1,1.566294670E0,-5.499129295E-1,-9.715795517E-2
5.113190030E-1,8.211294413E-1,-6.725587845E-1,-9.631609917E-1
5.163238860E-1,1.548914075E0,-2.206754684E-1,-7.362990379E-1
5.213287690E-1,2.057269096E0,1.188039780E-2,-1.582065105E0
5.263336520E-1,2.497765303E0,3.368978500E-1,-2.511852264E0
5.313385350E-1,2.417434931E0,7.863116264E-1,-2.924221516E0
5.363739350E-1,1.827665329E0,1.228237629E0,-3.243231773E0
5.413788180E-1,1.936094999E0,1.452033043E0,-2.922093391E0
5.463837010E-1,2.523684740E0,1.574193001E0,-1.839064598E0
5.513885830E-1,2.822978497E0,1.707033634E0,-4.593853951E-1
5.563934660E-1,2.739441633E0,1.603245258E0,6.158294678E-1
5.614288670E-1,2.785704851E0,1.307057381E0,1.625784397E0
5.664337490E-1,2.820105314E0,9.283890724E-1,2.476677418E0
5.714386320E-1,2.195371628E0,3.859877586E-1,2.477245808E0
5.764435150E-1,1.211897373E0,-7.098484039E-2,8.494973183E-1
5.814483980E-1,1.004670620E0,-4.849019051E-1,-1.159123421E0
5.864837980E-1,1.069395304E0,-5.497565269E-1,-2.193824291E0
5.914886810E-1,1.035175323E0,-2.923154831E-1,-2.455457211E0
5.964935640E-1,9.698348045E-1,7.131385803E-2,-2.401035786E0
6.014984470E-1,1.196826458E0,2.919106483E-1,-2.104043961E0
6.065033300E-1,1.619524002E0,2.662220001E-1,-1.520812035E0
6.115387300E-1,1.873867989E0,-1.494503021E-2,-4.631938934E-1
6.165436130E-1,2.210493565E0,-3.645992279E-1,7.724184990E-1
6.215484960E-1,2.578048229E0,-6.703300476E-1,2.207809448E0
