"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.640671200E-1,5.140430474E1,-5.123635200E-1,1.475874184E1,4.699999988E-1,1.466000061E2,3.216000080E0,3.000000000E0
1.363093677E0,5.140430316E1,-5.123572100E-1,1.316231539E1,5.199999809E-1,8.940000153E1,3.216000080E0,3.000000000E0
2.365044298E0,5.140430005E1,-5.123489400E-1,1.244437146E1,7.900000215E-1,1.070999985E2,3.216000080E0,3.000000000E0
3.365098721E0,5.140429321E1,-5.123416000E-1,9.655017622E0,7.599999905E-1,1.190999985E2,3.216000080E0,3.000000000E0
4.361768976E0,5.140428498E1,-5.123351700E-1,9.274782179E0,8.799999952E-1,1.378000031E2,3.216000080E0,3.000000000E0
5.367932931E0,5.140427358E1,-5.123335900E-1,1.076673497E1,1.750000000E0,1.635000000E2,3.216000080E0,4.000000000E0
6.360787456E0,5.140425743E1,-5.123343400E-1,1.047987928E1,1.750000000E0,1.721999969E2,3.216000080E0,4.000000000E0
7.369085578E0,5.140424329E1,-5.123431200E-1,9.572284456E0,1.679999948E0,2.038999939E2,3.216000080E0,4.000000000E0
8.359671093E0,5.140423460E1,-5.123534300E-1,9.486522515E0,8.100000024E-1,2.038999939E2,4.288000107E0,4.000000000E0
9.366395152E0,5.140423573E1,-5.123597500E-1,1.101709230E1,3.199999928E-1,7.699999809E0,3.216000080E0,6.000000000E0
1.036814275E1,5.140424983E1,-5.123640100E-1,1.111180425E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.137048879E1,5.140426496E1,-5.123657600E-1,1.166861590E1,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.236542472E1,5.140427265E1,-5.123665900E-1,1.226986717E1,2.099999934E-1,6.079999924E1,4.288000107E0,6.000000000E0
1.336668414E1,5.140428070E1,-5.123671900E-1,1.229500765E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.436272398E1,5.140428521E1,-5.123671600E-1,1.228896228E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.536396476E1,5.140428746E1,-5.123671600E-1,1.228737390E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.635668616E1,5.140428859E1,-5.123671500E-1,1.228731214E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.736060897E1,5.140428918E1,-5.123671600E-1,1.228102512E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.836508964E1,5.140428973E1,-5.123643900E-1,1.195412402E1,3.899999857E-1,1.383999939E2,4.288000107E0,6.000000000E0
