"event","experiment time","system time","system time text"
"START",0.000000000E0,1727189917.335,"2024-09-24 15:58:37.335 UTC+01:00"
"PAUSE",2.369316951E2,1727190154.267,"2024-09-24 16:02:34.267 UTC+01:00"
