"event","experiment time","system time","system time text"
"START",0.000000000E0,1727187679.217,"2024-09-24 15:21:19.217 UTC+01:00"
"PAUSE",4.803121940E2,1727188159.529,"2024-09-24 15:29:19.529 UTC+01:00"
