"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.282196380E-1,2.365684509E-1,5.245531082E0,7.633075714E0
4.332245210E-1,5.659675598E-1,5.479104996E0,6.978170395E0
4.382294040E-1,2.066230774E-1,5.997459412E0,6.401123047E0
4.432342870E-1,-6.498146057E-2,6.295415878E0,6.049264908E0
4.482391690E-1,-6.737709045E-2,6.530187607E0,5.766880035E0
4.532745700E-1,5.599784851E-2,6.646076202E0,5.772869110E0
4.583099700E-1,1.242733002E-1,6.680812836E0,6.037286758E0
4.633148530E-1,6.198692322E-2,6.496648788E0,6.414299011E0
4.683197360E-1,2.725028992E-2,6.368482590E0,6.890729904E0
4.733246190E-1,-4.342079163E-2,6.271459579E0,7.358776093E0
4.783295010E-1,-3.383827209E-2,6.180425644E0,7.770824432E0
4.833343840E-1,2.126121521E-2,6.105262756E0,8.137056351E0
4.883392670E-1,1.218776703E-1,6.084899902E0,8.466156006E0
4.933441500E-1,1.122951508E-1,5.971107483E0,8.635047913E0
4.983490330E-1,-1.284656525E-1,6.164854050E0,8.528442383E0
5.033844330E-1,-4.102516174E-2,6.524198532E0,8.127473831E0
5.083893160E-1,-1.464328766E-1,6.434362411E0,7.079984665E0
5.134247160E-1,-1.025030136E0,6.362493515E0,6.111551285E0
5.184295990E-1,-4.324111938E-1,6.866474152E0,6.234926224E0
5.234344820E-1,-5.300331116E-2,7.150056839E0,5.276075363E0
5.284393650E-1,2.653160095E-1,7.524972916E0,4.224992752E0
5.334442470E-1,6.558036804E-2,8.024162292E0,3.688671112E0
5.384796480E-1,-6.444244385E-1,8.517362595E0,3.243383408E0
5.434845310E-1,-6.480178833E-1,8.791362762E0,3.443119049E0
5.484894140E-1,-1.644001007E-1,8.962650299E0,4.415145874E0
5.534942960E-1,3.204154968E-2,9.144418716E0,5.693813324E0
5.584991790E-1,-1.608066559E-1,9.089618683E0,6.670631409E0
5.635345800E-1,-2.326755524E-1,8.841670990E0,7.579174042E0
5.685394620E-1,-3.261051178E-1,8.511373520E0,8.321220398E0
5.735443450E-1,-1.094503403E0,8.016975403E0,8.194551468E0
5.785492280E-1,-2.234224319E0,7.608819962E0,6.407112122E0
5.835541110E-1,-2.592071533E0,7.242288589E0,4.211816788E0
5.885895110E-1,-2.665138245E0,7.224321365E0,2.978666306E0
5.935943940E-1,-2.823249817E0,7.528566360E0,2.520202637E0
5.985992770E-1,-3.000226974E0,7.939117432E0,2.382453918E0
6.036041600E-1,-2.872060776E0,8.205930710E0,2.493850708E0
6.086090420E-1,-2.535774231E0,8.223897934E0,2.899610519E0
6.136444430E-1,-2.358797073E0,7.982238770E0,3.790485382E0
6.186493260E-1,-2.090486526E0,7.667213440E0,4.870016098E0
6.236542080E-1,-1.787738800E0,7.393213272E0,6.155870438E0
6.286590910E-1,-1.707485199E0,7.116817474E0,7.120710373E0
6.336639740E-1,-2.331247330E0,6.726329803E0,7.239294052E0
6.386993740E-1,-4.283685684E0,6.291822433E0,6.221750259E0
6.437042570E-1,-6.538871765E0,6.104064941E0,4.275300980E0
6.487091400E-1,-8.032846451E0,6.137304306E0,2.496246338E0
6.537140230E-1,-8.762016296E0,6.029800415E0,1.523021698E0
6.587189060E-1,-8.956960678E0,6.337339401E0,9.004573822E-1
6.637543060E-1,-8.630256653E0,7.157243729E0,1.500263214E-1
6.687591890E-1,-7.910669327E0,8.468252182E0,-1.298431396E0
6.737640720E-1,-6.481376648E0,9.721466064E0,-2.648967743E0
