"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.960541110E-1,1.154232025E0,6.458091736E-1,1.340484619E-1
4.010589940E-1,1.229801178E0,9.366035461E-1,1.777076721E-1
4.060943940E-1,1.280937195E0,1.209239960E0,1.989364624E-1
4.110992770E-1,1.321525574E0,1.429805756E0,2.213668823E-1
4.161041600E-1,1.343822479E0,1.561851501E0,2.458000183E-1
4.211090420E-1,1.351299286E0,1.615123749E0,2.607536316E-1
4.261139250E-1,1.342754364E0,1.627941132E0,2.543449402E-1
4.311188080E-1,1.314048767E0,1.618328094E0,2.202987671E-1
4.361236910E-1,1.257572174E0,1.591758728E0,1.606178284E-1
4.411285740E-1,1.202163696E0,1.584281921E0,1.244354248E-1
4.461334560E-1,1.159572601E0,1.607646942E0,1.222991943E-1
4.511688570E-1,1.114845276E0,1.634349823E0,1.340484619E-1
4.562042570E-1,1.075458527E0,1.675872803E0,1.563453674E-1
4.612091400E-1,1.044483185E0,1.730213165E0,1.777076721E-1
4.662140230E-1,1.031665802E0,1.813259125E0,1.978683472E-1
4.712189060E-1,1.040210724E0,1.929416656E0,2.085494995E-1
4.762237890E-1,1.079597473E0,2.056121826E0,2.117538452E-1
4.812286710E-1,1.149959564E0,2.188301086E0,2.064132690E-1
4.862335540E-1,1.246891022E0,2.339572906E0,1.957321167E-1
4.912384370E-1,1.360912323E0,2.552528381E0,1.830482483E-1
4.962433200E-1,1.459980011E0,2.854003906E0,1.745033264E-1
5.012787200E-1,1.540889740E0,3.221569061E0,1.862525940E-1
5.062836030E-1,1.590957642E0,3.622112274E0,1.946640015E-1
5.113190030E-1,1.564388275E0,4.137744904E0,1.841163635E-1
5.163238860E-1,1.494026184E0,4.488220215E0,1.882553101E-1
5.213287690E-1,1.419525146E0,4.511585236E0,1.809120178E-1
5.263336520E-1,1.312980652E0,4.467926025E0,1.392555237E-1
5.313385350E-1,1.235141754E0,4.346561432E0,4.873275757E-2
5.363739350E-1,1.196823120E0,4.138813019E0,-3.751754761E-2
5.413788180E-1,1.153163910E0,3.969383240E0,-8.331298828E-2
5.463837010E-1,1.112709045E0,3.935337067E0,-1.089477539E-1
5.513885830E-1,1.108436584E0,4.039745331E0,-1.248359680E-1
5.563934660E-1,1.157436371E0,4.268722534E0,-1.323127747E-1
5.614288670E-1,1.249027252E0,4.642696381E0,-1.110839844E-1
5.664337490E-1,1.380004883E0,5.141239166E0,-6.942749023E-2
5.714386320E-1,1.536617279E0,5.687713623E0,2.937316895E-3
5.764435150E-1,1.654911041E0,6.152076721E0,1.616859436E-1
5.814483980E-1,1.655979156E0,6.371574402E0,3.779792786E-1
5.864837980E-1,1.557979584E0,6.367301941E0,5.622291565E-1
5.914886810E-1,1.441822052E0,6.236324310E0,6.580924988E-1
5.964935640E-1,1.344890594E0,6.017894745E0,6.846618652E-1
6.014984470E-1,1.278800964E0,5.793056488E0,6.805229187E-1
6.065033300E-1,1.239414215E0,5.575828552E0,6.452751160E-1
6.115387300E-1,1.234073639E0,5.359535217E0,5.920028687E-1
6.165436130E-1,1.275730133E0,5.197582245E0,5.281829834E-1
6.215484960E-1,1.368389130E0,5.210399628E0,4.503440857E-1
6.265533780E-1,1.506843567E0,5.424556732E0,3.758430481E-1
6.315582610E-1,1.668796539E0,5.800533295E0,3.279113770E-1
6.365936620E-1,1.812591553E0,6.258621216E0,3.491401672E-1
6.415985440E-1,1.881752014E0,6.632595062E0,4.770469666E-1
6.466034270E-1,1.851978302E0,6.761436462E0,6.741142273E-1
6.516083100E-1,1.763591766E0,6.613368988E0,8.881378174E-1
6.566131930E-1,1.667728424E0,6.236324310E0,1.093750000E0
6.616485930E-1,1.588821411E0,5.726032257E0,1.257839203E0
6.666534760E-1,1.488685608E0,5.169944763E0,1.363315582E0
6.716583590E-1,1.301231384E0,4.575538635E0,1.390953064E0
6.766632420E-1,1.069049835E0,3.869247437E0,1.306838989E0
6.816681240E-1,8.442115784E-1,3.120365143E0,1.142749786E0
6.867035250E-1,6.503486633E-1,2.417278290E0,9.531593323E-1
6.917084080E-1,5.097579956E-1,1.743030548E0,7.507514954E-1
6.967132900E-1,3.936004639E-1,1.028194427E0,5.526161194E-1
7.017181730E-1,2.508735657E-1,2.463340759E-1,3.651618958E-1
7.067230560E-1,9.532928467E-2,-6.208419800E-1,1.871871948E-1
7.117584560E-1,2.403259277E-2,-1.618995667E0,8.918762207E-2
