"event","experiment time","system time","system time text"
"START",0.000000000E0,1727187065.947,"2024-09-24 15:11:05.947 UTC+01:00"
"PAUSE",5.695019613E2,1727187635.449,"2024-09-24 15:20:35.449 UTC+01:00"
