"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.598198060E-1,-8.558986664E0,5.487489700E0,-3.288002014E0
4.648246890E-1,-9.426803589E0,5.321292877E0,-1.708084106E0
4.698295710E-1,-9.960729599E0,5.368007660E0,2.254886627E-1
4.748344540E-1,-9.724760056E0,5.564149857E0,1.665561676E0
4.798698550E-1,-9.242340088E0,5.594095230E0,2.874456406E0
4.848747370E-1,-9.227966309E0,5.256610870E0,3.878824234E0
4.898796200E-1,-9.894849777E0,4.812520981E0,4.663093567E0
4.948845030E-1,-1.091359138E1,4.119285583E0,2.100069046E0
4.998893860E-1,-1.217758560E1,4.007888794E0,-1.164875031E1
5.049247860E-1,-1.311367798E1,5.699502945E0,-1.215273094E1
5.099296690E-1,-1.258484268E1,6.630804062E0,5.597988129E0
5.149345520E-1,-1.100222969E1,6.833234787E0,1.277349854E1
5.199394350E-1,-9.616956711E0,6.014228821E0,9.656185150E0
5.249443180E-1,-9.094110489E0,4.643629074E0,5.414722443E0
5.299797180E-1,-9.089319229E0,4.139648438E0,4.379211426E0
5.349846010E-1,-8.481128693E0,4.544210434E0,5.164678574E0
5.399894840E-1,-7.624990463E0,4.928409576E0,5.883966446E0
5.449943660E-1,-7.707639694E0,4.843664169E0,6.277748108E0
5.499992490E-1,-8.386501312E0,4.469945908E0,6.423881531E0
5.550041320E-1,-8.895273209E0,4.399274826E0,6.055253983E0
5.600395320E-1,-8.773096085E0,4.559782028E0,5.228162766E0
5.650444150E-1,-8.670084000E0,4.604101181E0,4.579246521E0
5.700492980E-1,-9.366912842E0,4.521451950E0,4.624763489E0
5.750846980E-1,-1.074949074E1,4.589727402E0,4.853246689E0
5.800895810E-1,-1.224945450E1,4.934398651E0,4.956258774E0
5.850944640E-1,-1.339276886E1,5.534204483E0,4.245355606E0
5.900993470E-1,-1.385362816E1,6.376867294E0,2.737007141E0
5.951042300E-1,-1.330413055E1,6.971881866E0,2.247400284E0
6.001091120E-1,-1.223508072E1,7.315654755E0,2.407608032E0
6.051139950E-1,-1.146428680E1,7.487840652E0,2.218652725E0
6.101188780E-1,-1.068720436E1,7.103641510E0,1.781450272E0
6.151542780E-1,-9.918806076E0,6.612836838E0,1.608066559E0
