"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.255432169E1,5.140442255E1,-5.152142200E-1,6.955578041E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.355131627E1,5.140442246E1,-5.152142600E-1,6.957714279E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.455004168E1,5.140442241E1,-5.152142900E-1,6.962352945E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.555039001E1,5.140442238E1,-5.152142900E-1,6.968944761E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.654832662E1,5.140442236E1,-5.152142500E-1,6.971325196E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.755079437E1,5.140442240E1,-5.152141700E-1,6.973522538E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.854914437E1,5.140442245E1,-5.152141200E-1,6.972423937E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
4.955259983E1,5.140442243E1,-5.152141200E-1,6.970653931E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.055010160E1,5.140442244E1,-5.152140800E-1,6.968090499E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.155084467E1,5.140442245E1,-5.152140000E-1,6.963451923E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.254816909E1,5.140442239E1,-5.152139500E-1,6.953198119E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.354757586E1,5.140442236E1,-5.152139000E-1,6.951428183E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.454464054E1,5.140442234E1,-5.152138600E-1,6.953381373E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.554591418E1,5.140442230E1,-5.152138000E-1,6.941784796E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.654436329E1,5.140442228E1,-5.152137700E-1,6.940869320E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.754557974E1,5.140442223E1,-5.152137300E-1,6.927746845E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
5.854744083E1,5.140442218E1,-5.152137000E-1,6.923169279E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
5.954791604E1,5.140442217E1,-5.152137300E-1,6.932324521E0,0.000000000E0,NaN,3.216000080E0,3.000000000E0
6.054676129E1,5.140442216E1,-5.152137800E-1,6.958752686E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.154645269E1,5.140442209E1,-5.152137800E-1,6.972058396E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.254675066E1,5.140442198E1,-5.152137500E-1,6.991772861E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.354607404E1,5.140442185E1,-5.152137700E-1,7.013074189E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.454885013E1,5.140442180E1,-5.152138000E-1,7.017346645E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.555151601E1,5.140442175E1,-5.152138000E-1,7.023633298E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.655145944E1,5.140442169E1,-5.152138100E-1,7.025037133E0,0.000000000E0,NaN,3.216000080E0,4.000000000E0
6.755103282E1,5.140442162E1,-5.152138900E-1,7.044812467E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
6.855383605E1,5.140442154E1,-5.152139800E-1,7.051892482E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
6.954630990E1,5.140442146E1,-5.152140400E-1,7.051892457E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.054997599E1,5.140442143E1,-5.152141200E-1,7.066845987E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.155340885E1,5.140442133E1,-5.152142100E-1,7.085888906E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.255378666E1,5.140442127E1,-5.152143100E-1,7.097058251E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.355384759E1,5.140442119E1,-5.152143400E-1,7.112500159E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.455521748E1,5.140442108E1,-5.152144200E-1,7.141003546E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.555280930E1,5.140442103E1,-5.152145000E-1,7.152111874E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.655259466E1,5.140442100E1,-5.152145500E-1,7.161022963E0,0.000000000E0,NaN,3.216000080E0,6.000000000E0
7.755082543E1,5.140442110E1,-5.152185500E-1,7.690131548E0,4.000000060E-1,2.616000061E2,3.216000080E0,6.000000000E0
7.854904746E1,5.140442036E1,-5.152287700E-1,8.304132620E0,9.399999976E-1,2.640000000E2,3.216000080E0,6.000000000E0
7.954418230E1,5.140442055E1,-5.152426100E-1,8.354773961E0,1.029999971E0,2.733999939E2,4.288000107E0,6.000000000E0
8.054886391E1,5.140441992E1,-5.152508100E-1,9.370144735E0,4.499999881E-1,2.782999878E2,3.216000080E0,6.000000000E0
8.155005656E1,5.140441907E1,-5.152573100E-1,9.844685308E0,1.039999962E0,2.426999969E2,3.216000080E0,6.000000000E0
8.254814640E1,5.140442354E1,-5.152608800E-1,1.101417246E1,1.409999967E0,3.410000000E2,3.216000080E0,6.000000000E0
8.354905228E1,5.140443099E1,-5.152679400E-1,1.138116297E1,1.399999976E0,2.862999878E2,4.288000107E0,6.000000000E0
8.454578280E1,5.140443359E1,-5.152700700E-1,1.090917369E1,2.099999934E-1,2.816000061E2,4.288000107E0,6.000000000E0
8.554655540E1,5.140443535E1,-5.152659400E-1,1.019964414E1,0.000000000E0,NaN,4.288000107E0,6.000000000E0
8.655046039E1,5.140443478E1,-5.152631500E-1,1.044861048E1,4.499999881E-1,2.051000061E2,4.288000107E0,6.000000000E0
8.754981138E1,5.140443326E1,-5.152568800E-1,1.111487926E1,2.899999917E-1,1.553999939E2,3.216000080E0,6.000000000E0
8.854829960E1,5.140443389E1,-5.152429900E-1,1.068057046E1,7.599999905E-1,1.010999985E2,3.216000080E0,6.000000000E0
8.955191986E1,5.140443718E1,-5.152255300E-1,1.050755600E1,8.000000119E-1,6.469999695E1,3.216000080E0,6.000000000E0
9.054918787E1,5.140444143E1,-5.152114400E-1,1.117920213E1,3.499999940E-1,6.150000000E1,3.216000080E0,6.000000000E0
9.154780933E1,5.140444688E1,-5.152026200E-1,1.083338468E1,4.499999881E-1,5.140000153E1,3.216000080E0,6.000000000E0
9.254986984E1,5.140444709E1,-5.152002300E-1,1.229267715E1,1.289999962E0,2.201000061E2,3.216000080E0,6.000000000E0
9.355074385E1,5.140444386E1,-5.152097700E-1,1.249005474E1,1.440000057E0,2.802000122E2,4.288000107E0,6.000000000E0
9.455007312E1,5.140444272E1,-5.152207600E-1,1.160692374E1,1.429999948E0,2.285000000E2,3.216000080E0,6.000000000E0
