"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.276542780E-1,3.990211487E0,9.399013519E0,-3.940010071E-1
4.326591610E-1,3.923053741E0,8.883380890E0,-5.729103088E-1
4.376945620E-1,3.737735748E0,8.222885132E0,-7.423400879E-1
4.426994440E-1,3.420238495E0,7.491092682E0,-8.552932739E-1
4.477043270E-1,3.007946014E0,6.683597565E0,-9.308624268E-1
4.527092100E-1,2.514743805E0,5.847396851E0,-9.734535217E-1
4.577140930E-1,1.983222961E0,5.067672729E0,-9.745216370E-1
4.627189760E-1,1.494293213E0,4.367790222E0,-9.233856201E-1
4.677238590E-1,1.116046906E0,3.774452209E0,-8.360671997E-1
4.727287410E-1,8.540916443E-1,3.330249786E0,-7.530212402E-1
4.777641420E-1,6.782531738E-1,3.009548187E0,-7.081604004E-1
4.827690250E-1,5.695724487E-1,2.757072449E0,-6.901359558E-1
4.877739070E-1,5.184364319E-1,2.594051361E0,-6.550216675E-1
4.927787900E-1,5.046844482E-1,2.440643311E0,-5.707740784E-1
4.977836730E-1,3.160285950E-1,1.784553528E0,-4.333877563E-1
5.028190730E-1,-3.454017639E-1,1.652908325E-1,-2.660942078E-1
5.078239560E-1,-8.674430847E-1,-9.362030029E-1,-1.522064209E-1
5.128288390E-1,-7.544898987E-1,-9.297943115E-1,-1.276397705E-1
5.178337220E-1,-3.785133362E-1,-7.902717590E-1,-2.086830139E-1
5.228386050E-1,-1.004028320E-1,-9.137725830E-1,-3.129577637E-1
5.278740050E-1,2.737045288E-2,-1.107635498E0,-3.343200684E-1
5.328788880E-1,1.200294495E-1,-1.163043976E0,-2.650260925E-1
5.378837710E-1,2.628898621E-1,-1.063976288E0,-1.926612854E-1
5.428886530E-1,4.588890076E-1,-9.084320068E-1,-1.616859436E-1
5.478935360E-1,6.814575195E-1,-7.316589355E-1,-1.383209229E-1
5.528984190E-1,8.849334717E-1,-4.588890076E-1,-1.105499268E-1
5.579338190E-1,1.038341522E0,-7.650375366E-2,-8.184432983E-2
5.629387020E-1,1.158771515E0,3.304481506E-1,-7.009506226E-2
5.679435850E-1,1.281204224E0,7.106971741E-1,-8.718490601E-2
5.729789850E-1,1.445293427E0,1.060104370E0,-1.276397705E-1
5.779838680E-1,1.644496918E0,1.329669952E0,-1.627540588E-1
5.829887510E-1,1.830883026E0,1.494693756E0,-1.883888245E-1
5.879936340E-1,1.903381348E0,1.525669098E0,-2.076148987E-1
5.929985170E-1,1.826610565E0,1.486282349E0,-2.235031128E-1
5.980034000E-1,1.675338745E0,1.522464752E0,-2.927970886E-1
6.030082820E-1,1.488952637E0,1.532077789E0,-3.875923157E-1
6.080131650E-1,1.284408569E0,1.468124390E0,-4.195022583E-1
6.130485660E-1,1.090545654E0,1.355171204E0,-3.897285461E-1
6.180534480E-1,9.392738342E-1,1.229534149E0,-3.321838379E-1
6.230583310E-1,8.466148376E-1,1.122989655E0,-2.566146851E-1
6.280632140E-1,8.135032654E-1,1.052627563E0,-1.691627502E-1
6.330680970E-1,8.295249939E-1,9.918785095E-1,-7.329940796E-2
6.381034970E-1,8.615684509E-1,9.366035461E-1,9.746551514E-3
6.431083800E-1,8.988189697E-1,8.811950684E-1,6.942749023E-2
6.481132630E-1,9.414100647E-1,8.236503601E-1,1.034736633E-1
6.531181460E-1,9.914779663E-1,8.012199402E-1,1.088142395E-1
6.581230280E-1,1.038341522E0,8.375358582E-1,8.651733398E-2
6.631584290E-1,1.070251465E0,9.013557434E-1,6.408691406E-2
6.681633120E-1,1.075592041E0,9.631729126E-1,4.699707031E-2
6.731681940E-1,1.043682098E0,1.008968353E0,3.952026367E-2
6.781730770E-1,9.510231018E-1,9.589004517E-1,5.340576172E-2
6.831779600E-1,7.954788208E-1,9.002876282E-1,8.758544922E-2
6.882133600E-1,7.229804993E-1,1.065444946E0,8.758544922E-2
6.932182430E-1,7.464790344E-1,1.216716766E0,9.172439575E-2
6.982231260E-1,7.912063599E-1,1.171989441E0,1.226997375E-1
7.032280090E-1,8.487510681E-1,1.011104584E0,1.514053345E-1
7.082328920E-1,9.435462952E-1,9.376716614E-1,1.727676392E-1
7.132377750E-1,1.042613983E0,8.544921875E-1,1.939964294E-1
7.182731750E-1,1.111907959E0,6.372642517E-1,2.025413513E-1
7.232780580E-1,1.175727844E0,5.029487610E-1,1.738357544E-1
7.282829410E-1,1.248226166E0,4.295158386E-1,9.599685669E-2
7.332878230E-1,1.314182281E0,3.304481506E-1,-9.038925171E-2
7.383232240E-1,1.398429871E0,3.421974182E-1,-2.470016479E-1
7.433281070E-1,1.484680176E0,4.443359375E-1,-3.182983398E-1
7.483329890E-1,1.544361115E0,6.094932556E-1,-3.715705872E-1
7.533378720E-1,1.594429016E0,8.523559570E-1,-4.344558716E-1
7.583427550E-1,1.644496918E0,1.013240814E0,-5.356597900E-1
7.633476380E-1,1.702041626E0,1.031398773E0,-6.847953796E-1
7.683830380E-1,1.772270203E0,9.845352173E-1,-8.957481384E-1
7.733879210E-1,1.843700409E0,9.376716614E-1,-1.153564453E0
7.783928040E-1,1.893768311E0,8.833312988E-1,-1.414451599E0
7.833976870E-1,1.914997101E0,8.321952820E-1,-1.662654877E0
7.884025690E-1,1.922473907E0,8.183097839E-1,-1.909790039E0
7.934074520E-1,1.932086945E0,8.321952820E-1,-2.152786255E0
7.984428530E-1,1.935291290E0,8.641052246E-1,-2.394580841E0
8.034477350E-1,1.920337677E0,9.077644348E-1,-2.631034851E0
8.084526180E-1,1.864929199E0,9.056282043E-1,-2.843055725E0
8.134575010E-1,1.781883240E0,8.619689941E-1,-3.016624451E0
8.184929020E-1,1.698837280E0,8.300590515E-1,-3.149871826E0
8.234977840E-1,1.611385345E0,7.937431335E-1,-3.259487152E0
8.285026670E-1,1.499633789E0,7.575607300E-1,-3.344802856E0
8.335075500E-1,1.357975006E0,7.406044006E-1,-3.401279449E0
8.385124330E-1,1.194953918E0,7.331275940E-1,-3.438529968E0
8.435173160E-1,6.675720215E-1,9.940147400E-1,-3.525848389E0
8.485527160E-1,-3.324508667E-2,8.726501465E-1,-3.632392883E0
8.535575990E-1,-5.446052551E-1,8.865356445E-1,-3.669643402E0
8.585624820E-1,-1.427803040E0,1.233806610E0,-3.702621460E0
8.635673640E-1,-1.870937347E0,2.356529236E-1,-3.726119995E0
8.685722470E-1,-2.198982239E0,1.269721985E-1,-3.839073181E0
8.735771300E-1,-2.370548248E0,4.028129578E-1,-3.816642761E0
8.785820130E-1,-2.492980957E0,5.200386047E-1,-3.630256653E0
8.836174130E-1,-2.507934570E0,5.508804321E-1,-3.443870544E0
8.886222960E-1,-2.951068878E0,8.715820312E-1,-3.191394806E0
8.936271790E-1,-2.908477783E0,7.267189026E-1,-2.936782837E0
8.986320620E-1,-2.487640381E0,5.146980286E-1,-2.844123840E0
9.036674620E-1,-2.271480560E0,4.327201843E-1,-2.707672119E0
9.086723450E-1,-1.984825134E0,4.263114929E-1,-2.494716644E0
9.136772280E-1,-1.737689972E0,4.528808594E-1,-2.290172577E0
9.186821100E-1,-1.539554596E0,3.953361511E-1,-2.088832855E0
9.237175110E-1,-1.306304932E0,3.208351135E-1,-1.882152557E0
9.287223940E-1,-1.052761078E0,3.005409241E-1,-1.662654877E0
9.337272770E-1,-8.088302612E-1,3.293800354E-1,-1.404972076E0
9.387321590E-1,-6.181716919E-1,3.869247437E-1,-1.149291992E0
9.437370420E-1,-5.094909668E-1,4.464721680E-1,-9.447479248E-1
9.487724430E-1,-4.838562012E-1,5.008125305E-1,-7.977485657E-1
9.537773250E-1,-5.403327942E-1,5.360603333E-1,-6.869316101E-1
9.587822080E-1,-5.446052551E-1,4.263114929E-1,-5.484771729E-1
9.637870910E-1,-4.913330078E-1,3.186988831E-1,-4.100227356E-1
9.687919740E-1,-4.870605469E-1,3.400611877E-1,-3.311157227E-1
9.738273740E-1,-4.775810242E-1,3.442001343E-1,-2.448654175E-1
9.788322570E-1,-4.498100281E-1,3.026771545E-1,-1.543426514E-1
9.838371400E-1,-3.859901428E-1,2.068138123E-1,-6.795883179E-2
9.888420230E-1,-3.028106689E-1,7.904052734E-2,2.042770386E-2
9.938469050E-1,-2.388572693E-1,-3.284454346E-2,1.141548157E-1
9.988823060E-1,-1.835823059E-1,-8.398056030E-2,2.419281006E-1
1.003887189E0,-1.271057129E-1,-6.261825562E-2,3.964042664E-1
1.008892071E0,-1.281738281E-1,2.256393433E-2,5.392646790E-1
1.013896954E0,-1.451301575E-1,3.644943237E-2,6.819915771E-1
1.018901837E0,-1.707649231E-1,4.699707031E-2,7.894706726E-1
1.023906720E0,-2.324485779E-1,6.729125977E-2,8.790588379E-1
1.028942120E0,-3.305816650E-1,5.661010742E-2,9.781265259E-1
1.033947003E0,-4.327201843E-1,3.110885620E-2,1.124057770E0
1.038951886E0,-5.670356750E-1,8.331298828E-2,1.268920898E0
1.043956769E0,-7.300567627E-1,1.141548157E-1,1.412715912E0
1.048961652E0,-8.950805664E-1,9.813308716E-2,1.562919617E0
1.053997052E0,-1.029396057E0,7.156372070E-2,1.714191437E0
1.059001935E0,-1.152896881E0,9.813308716E-2,1.876144409E0
1.064006818E0,-1.287078857E0,1.972007751E-1,2.053985596E0
1.069011700E0,-1.414985657E0,3.548812866E-1,2.251052856E0
1.074016583E0,-1.527938843E0,5.339241028E-1,2.476959229E0
1.079021466E0,-1.613121033E0,7.000160217E-1,2.721958160E0
1.084056866E0,-1.658916473E0,8.386039734E-1,2.957344055E0
1.089061749E0,-1.674938202E0,9.663772583E-1,3.172569275E0
1.094066632E0,-1.774005890E0,9.982872009E-1,3.306751251E0
1.099071515E0,-1.899642944E0,1.104831696E0,3.299274445E0
1.104076398E0,-1.919937134E0,1.264648438E0,3.190593719E0
1.109111798E0,-1.904983521E0,1.300830841E0,3.041458130E0
1.114116681E0,-1.868801117E0,1.198558807E0,2.848663330E0
1.119121564E0,-1.783485413E0,1.121921539E0,2.620754242E0
1.124126446E0,-1.710052490E0,1.112308502E0,2.406597137E0
1.129131329E0,-1.687622070E0,1.113376617E0,2.180824280E0
1.134166730E0,-1.714324951E0,1.104831696E0,1.946372986E0
1.139171612E0,-1.743030548E0,1.029262543E0,1.707782745E0
1.144176495E0,-1.747303009E0,8.512878418E-1,1.488285065E0
1.149181378E0,-1.720733643E0,6.383323669E-1,1.326465607E0
1.154186261E0,-1.657848358E0,4.017448425E-1,1.249694824E0
1.159191144E0,-1.502304077E0,9.813308716E-2,1.268920898E0
1.164226544E0,-1.150760651E0,-3.024101257E-1,1.365852356E0
1.169231427E0,-5.456733704E-1,-7.508850098E-1,1.508579254E0
1.174236310E0,1.285743713E-1,-7.199096680E-1,1.703510284E0
1.179241193E0,5.195045471E-1,-8.932113647E-2,1.914463043E0
1.184246075E0,6.942749023E-1,4.443359375E-1,2.119007111E0
1.189281476E0,6.793212891E-1,4.199028015E-1,2.336368561E0
1.194286359E0,4.013442993E-1,-2.138900757E-1,2.548255920E0
1.199291241E0,-3.644943237E-2,-1.190814972E0,2.713413239E0
1.204296124E0,-5.627632141E-1,-2.637443542E0,3.031978607E0
1.209301007E0,-1.092147827E0,-4.374866486E0,3.776588440E0
1.214336407E0,-1.165714264E0,-5.706405640E0,5.147514343E0
1.219341290E0,-7.758522034E-1,-6.432991028E0,6.477985382E0
1.224346173E0,-1.866531372E-1,-6.866512299E0,7.222728729E0
1.229351056E0,5.205726624E-1,-6.149539948E0,7.102298737E0
1.234355939E0,1.192817688E0,-4.225730896E0,5.912418365E0
1.239360821E0,1.566658020E0,-2.254924774E0,4.222927094E0
1.244396222E0,1.576271057E0,-9.809303284E-1,2.797527313E0
1.249401105E0,1.406974792E0,-4.162979126E-1,1.833553314E0
1.254405987E0,1.202430725E0,-2.863883972E-1,1.309375763E0
1.259410870E0,9.775924683E-1,-1.798439026E-1,1.143150330E0
1.264415753E0,7.060241699E-1,6.301879883E-2,1.236877441E0
1.269451153E0,3.512763977E-1,3.953361511E-1,1.497898102E0
1.274456036E0,4.005432129E-3,8.183097839E-1,1.729145050E0
1.279460919E0,-2.846527100E-1,1.150627136E0,1.897373199E0
1.284465802E0,-4.604911804E-1,1.300830841E0,2.046508789E0
1.289470685E0,-5.212402344E-1,1.248626709E0,2.223415375E0
1.294506085E0,-5.084228516E-1,9.578323364E-1,2.476959229E0
1.299510968E0,-4.690361023E-1,3.655624390E-1,2.832775116E0
1.304515851E0,-4.881286621E-1,-5.964088440E-1,3.442001343E0
1.309520734E0,-3.795814514E-1,-1.448631287E0,3.866043091E0
1.314525616E0,-2.112197876E-1,-2.129287720E0,4.088611603E0
1.319530499E0,-8.972167969E-2,-2.708740234E0,4.310245514E0
1.324565900E0,-3.324508667E-2,-3.226509094E0,4.601039886E0
1.329570782E0,-5.353927612E-2,-3.635597229E0,4.982357025E0
1.334575665E0,-1.440620422E-1,-3.927459717E0,5.392513275E0
1.339580548E0,-2.835845947E-1,-4.188480377E0,5.782375336E0
1.344585431E0,-3.986740112E-1,-4.509048462E0,6.164894104E0
1.349590314E0,-4.701042175E-1,-4.955387115E0,6.532325745E0
1.354595196E0,-5.233764648E-1,-5.464611053E0,6.889209747E0
1.359630597E0,-5.319213867E-1,-5.901336670E0,7.282276154E0
1.364635480E0,-4.125595093E-1,-6.365833282E0,7.678546906E0
1.369640362E0,-1.419258118E-1,-6.900558472E0,8.170681000E0
1.374645245E0,1.850509644E-1,-7.302169800E0,8.636245728E0
1.379650128E0,6.207084656E-1,-7.644100189E0,8.978176117E0
1.384685528E0,1.164112091E0,-7.972278595E0,9.118900299E0
1.389690411E0,1.729679108E0,-8.169345856E0,8.972835541E0
1.394695294E0,2.317676544E0,-8.232231140E0,8.553199768E0
1.399700177E0,2.843990326E0,-8.076686859E0,7.941703796E0
1.404705060E0,3.252010345E0,-7.701644897E0,7.243957520E0
1.409740460E0,3.529987335E0,-7.074260712E0,6.653823853E0
1.414745343E0,3.553485870E0,-6.135787964E0,6.133918762E0
1.419750226E0,3.338260651E0,-5.009727478E0,5.599193573E0
1.424755109E0,2.988853455E0,-3.878459930E0,5.052719116E0
1.429759991E0,2.561607361E0,-2.813148499E0,4.538154602E0
1.434795392E0,2.082290649E0,-1.767063141E0,4.129199982E0
1.439800275E0,1.618862152E0,-7.519531250E-1,3.846817017E0
1.444805157E0,1.141681671E0,1.642227173E-1,3.613567352E0
1.449810040E0,6.814575195E-1,8.609008789E-1,3.346138000E0
1.454814923E0,2.436637878E-1,1.258239746E0,3.019161224E0
1.459819806E0,-1.515388489E-1,1.336078644E0,2.579231262E0
1.464855206E0,-4.551506042E-1,1.247558594E0,2.007122040E0
1.469860089E0,-6.010818481E-1,1.165580750E0,1.392421722E0
