"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.376945620E-1,1.015845776E0,4.033303261E-1,-5.069094658E0
4.426994440E-1,2.635211945E-1,1.040357113E0,-6.014556885E0
4.477043270E-1,2.621412277E-2,1.249876976E0,-6.784012794E0
4.527092100E-1,-5.748114586E-1,8.810033798E-1,-7.279184341E0
4.577140930E-1,-1.271362782E0,4.840426445E-1,-6.690182686E0
4.627189760E-1,-2.018725872E0,3.227939606E-1,-4.851624489E0
4.677238590E-1,-2.443786621E0,3.788566589E-1,-2.716197729E0
4.727287410E-1,-2.115577698E0,5.842542648E-1,-1.115350485E0
4.777641420E-1,-1.555553436E0,6.246175766E-1,2.237696648E-1
4.827690250E-1,-1.470792770E0,3.026828766E-1,1.332842827E0
4.877739070E-1,-2.064772129E0,-1.209669113E-1,2.204867840E0
4.927787900E-1,-3.005113602E0,-7.885532379E-1,-2.468955517E-1
4.977836730E-1,-4.189858913E0,-8.762893677E-1,-1.375892448E1
5.028190730E-1,-5.060196877E0,8.202762604E-1,-1.410446072E1
5.078239560E-1,-4.486252785E0,1.746711254E0,3.547418833E0
5.128288390E-1,-2.878263474E0,1.940485477E0,1.054954147E1
5.178337220E-1,-1.480731010E0,1.122065067E0,7.310562611E0
5.228386050E-1,-9.504365921E-1,-2.321643829E-1,2.997007370E0
5.278740050E-1,-9.409427643E-1,-7.150921822E-1,1.896387577E0
5.328788880E-1,-3.373804092E-1,-2.980060577E-1,2.609426975E0
5.378837710E-1,5.041980743E-1,8.978509903E-2,3.257610083E0
5.428886530E-1,4.092521667E-1,5.250930786E-3,3.588242531E0
5.478935360E-1,-2.732152939E-1,-3.680434227E-1,3.683125496E0
5.528984190E-1,-7.776546478E-1,-4.418010712E-1,3.283717394E0
5.579338190E-1,-6.480798721E-1,-2.895689011E-1,2.453949213E0
5.629387020E-1,-5.335407257E-1,-2.558355331E-1,1.828433275E0
5.679435850E-1,-1.206516266E0,-3.488764763E-1,1.915145636E0
5.729789850E-1,-2.546807289E0,-2.919621468E-1,2.201306581E0
5.779838680E-1,-3.986756325E0,3.768253326E-2,2.376086235E0
5.829887510E-1,-5.057830811E0,6.161508560E-1,1.754981279E0
5.879936340E-1,-5.443173409E0,1.430758953E0,3.539173603E-1
5.929985170E-1,-4.825318336E0,1.995037556E0,-2.751159668E-2
5.980034000E-1,-3.697524071E0,2.310817242E0,2.371318340E-1
6.030082820E-1,-2.874024391E0,2.461197376E0,1.494739056E-1
6.080131650E-1,-2.052873611E0,2.063059807E0,-1.902205944E-1
6.130485660E-1,-1.249927521E0,1.564413071E0,-2.746449709E-1
6.180534480E-1,-7.209215164E-1,1.293942451E0,7.355976105E-2
6.230583310E-1,-5.285739899E-1,1.162736416E0,7.097661495E-1
6.280632140E-1,-6.211166382E-1,1.281116486E0,1.120750308E0
6.330680970E-1,-6.436986923E-1,1.624735355E0,1.045556188E0
6.381034970E-1,-4.505310059E-1,2.054401875E0,9.261089563E-1
6.431083800E-1,-2.019529343E-1,2.218026161E0,8.535422087E-1
6.481132630E-1,2.779836655E-1,1.881528378E0,7.269759178E-1
6.531181460E-1,7.818803787E-1,1.225982189E0,3.966195583E-1
6.581230280E-1,8.738222122E-1,6.885094643E-1,-9.901785851E-2
6.631584290E-1,5.217943192E-1,4.201278687E-1,-7.419993877E-1
6.681633120E-1,4.609394073E-2,4.009146690E-1,-1.425959706E0
6.731681940E-1,-3.734340668E-1,5.051369667E-1,-2.315762043E0
6.781730770E-1,-5.056829453E-1,5.613985062E-1,-3.379949570E0
6.831779600E-1,8.943462372E-2,1.823048592E-1,-2.032894373E0
6.882133600E-1,-1.962366104E-1,-4.698948860E-1,-7.704923749E-1
6.932182430E-1,-1.185061455E0,-9.150352478E-1,-1.441193819E0
6.982231260E-1,-1.329162598E0,-8.816809654E-1,-2.259489536E0
7.032280090E-1,-1.144972801E0,-4.530158043E-1,-1.611273527E0
7.082328920E-1,-1.052531242E0,1.080746651E-1,-1.344177127E0
7.132377750E-1,-2.409057617E-1,6.581144333E-1,-1.371188879E0
7.182731750E-1,1.174198151E0,9.959187508E-1,-9.812445641E-1
7.232780580E-1,2.235698700E0,1.167684078E0,-5.963664651E-1
7.282829410E-1,3.790229797E0,3.486500263E0,-9.356651306E-1
7.332878230E-1,4.229556084E0,4.930513382E0,1.188691705E-1
7.383232240E-1,2.476469040E0,3.771280289E0,7.791347504E-1
7.433281070E-1,2.103642464E0,3.346559525E0,4.239184558E-1
7.483329890E-1,2.616803169E0,2.789954185E0,5.650052428E-1
7.533378720E-1,3.214678764E0,2.246696949E0,5.173076987E-1
7.583427550E-1,3.866626740E0,2.011947632E0,3.688483834E-1
7.633476380E-1,4.651986122E0,2.016745090E0,4.435206056E-1
7.683830380E-1,5.259080887E0,2.129196167E0,7.330015898E-1
7.733879210E-1,5.131443024E0,2.289506912E0,7.033001184E-1
7.783928040E-1,4.767600060E0,2.529855728E0,3.740100563E-1
7.833976870E-1,4.707215309E0,2.648280621E0,4.645631313E-1
7.884025690E-1,4.740997314E0,2.450649738E0,7.925184965E-1
7.934074520E-1,4.720414162E0,2.006757259E0,8.925529122E-1
7.984428530E-1,4.821660042E0,1.366474628E0,8.076560497E-1
8.034477350E-1,4.691811562E0,5.509495735E-1,1.491260529E-1
8.084526180E-1,4.202236176E0,-4.153709412E-1,-4.920107126E-1
8.134575010E-1,3.752460480E0,-1.348976612E0,-5.642871857E-1
8.184929020E-1,3.561173439E0,-2.328291893E0,-5.152604580E-1
8.234977840E-1,3.394309044E0,-3.252532959E0,-1.019998312E0
8.285026670E-1,3.084764481E0,-3.965524197E0,-1.596855044E0
8.335075500E-1,2.744270325E0,-4.447608948E0,-1.953621149E0
8.385124330E-1,2.449719429E0,-5.539945602E0,-2.311515808E0
8.435173160E-1,1.397809982E0,-6.282893181E0,-1.611967087E0
8.485527160E-1,1.541263580E0,-6.704582214E0,-4.154458523E0
8.535575990E-1,1.961923599E0,-9.839806557E0,-6.847957373E-1
8.585624820E-1,9.102602005E-1,-7.479084969E0,-4.778856277E0
